"cust","cds","sales","date"
297,1,14.96,1997-01-02
312,2,87.74,1997-01-02
312,1,14.99,1997-12-21
314,1,3.99,1997-01-02
314,10,166.89,1997-01-13
314,4,60.25,1997-01-13
333,1,15.9,1997-01-02
341,2,26.14,1997-01-02
341,4,80.46,1997-07-27
350,1,46.37,1997-01-02
353,2,28.76,1997-01-02
353,2,40.47,1997-02-12
367,1,44.77,1997-01-02
388,1,10.77,1997-01-02
408,1,25.99,1997-01-02
425,1,14.99,1997-01-02
429,1,11.77,1997-01-02
429,2,31.14,1997-07-11
429,1,59.49,1998-06-14
440,1,14.96,1997-01-02
441,5,62.45,1997-01-06
441,1,12.49,1997-02-13
441,1,6.79,1997-05-05
441,1,6.79,1997-05-26
441,3,37.31,1997-08-13
441,2,23.98,1997-09-16
441,2,15.48,1997-11-17
441,1,14.49,1997-11-20
441,1,14.99,1997-12-10
441,2,24.48,1998-06-03
473,3,34.97,1997-01-02
487,1,11.77,1997-01-03
489,3,47,1997-01-02
489,1,13.97,1997-01-17
502,1,15.36,1997-01-02
502,1,16.99,1997-10-09
516,1,14.99,1997-01-02
530,1,11.97,1997-01-03
542,4,45.67,1997-01-03
558,4,49.67,1997-01-03
562,1,8.97,1997-01-03
562,1,14.96,1997-06-23
564,3,40.7,1997-01-03
564,1,14.96,1997-01-14
564,2,43.13,1997-01-21
564,1,14.96,1997-01-27
564,2,39.33,1997-02-04
564,2,29.92,1997-04-11
564,2,37.93,1997-06-27
564,2,26.73,1997-07-10
564,2,29.58,1997-07-14
564,1,14.96,1997-07-29
564,1,21.97,1997-07-31
564,2,29.73,1997-08-28
564,2,27.74,1997-08-28
564,2,23.54,1997-09-01
564,2,32.48,1997-10-13
564,2,24.48,1997-10-28
564,3,35.97,1997-12-14
564,2,26.48,1998-01-10
564,2,28.98,1998-02-13
564,2,30.98,1998-03-01
564,2,32.47,1998-03-05
564,2,25.98,1998-03-25
564,1,11.88,1998-04-15
564,1,12.99,1998-05-31
581,1,14.37,1997-01-03
584,1,11.77,1997-01-17
612,1,12.49,1997-01-03
619,3,41.1,1997-02-03
619,4,45.28,1997-02-07
619,2,29.33,1997-02-10
619,2,29.33,1997-02-13
619,2,23.54,1997-02-19
619,2,23.54,1997-02-24
619,1,13.97,1997-02-26
619,2,29.33,1997-03-03
619,3,37.3,1997-03-17
619,1,9.99,1997-03-21
619,2,29.33,1997-03-24
619,1,12.99,1997-03-24
619,1,11.77,1997-03-28
619,1,12.77,1997-04-11
619,1,11.77,1997-04-15
619,1,25.77,1997-04-15
619,3,38.31,1997-04-22
619,1,15.36,1997-04-24
619,2,21.54,1997-06-23
619,4,50.48,1997-07-24
619,4,60.05,1997-07-25
619,2,28.48,1997-09-29
619,2,26.98,1997-10-27
619,1,9.49,1997-11-14
619,6,77.44,1997-12-02
619,5,64.45,1997-12-02
619,4,38.46,1997-12-03
619,1,11.49,1997-12-09
619,1,12.49,1997-12-15
619,1,14.49,1998-01-12
619,2,25.48,1998-02-16
619,3,45.47,1998-03-09
619,1,11.49,1998-03-11
619,3,36.97,1998-03-23
619,1,25.99,1998-04-23
619,1,22.99,1998-05-19
621,1,17.9,1997-01-03
621,1,14.37,1997-01-14
636,3,27.92,1997-01-03
645,3,44.71,1997-01-04
645,1,6.49,1997-09-30
645,1,12.99,1997-11-24
645,1,36.99,1998-03-19
656,3,55.1,1997-01-03
656,6,93.81,1998-04-11
656,2,20.98,1998-04-11
675,1,24.99,1997-01-03
687,1,12.97,1997-01-03
687,2,34.41,1998-04-10
703,8,121.34,1997-01-04
719,2,34.98,1997-01-07
736,2,28.74,1997-01-03
755,1,52.99,1997-01-03
756,1,14.37,1997-01-03
756,1,13.97,1997-07-06
756,4,42.08,1997-08-23
760,1,11.77,1997-01-03
760,1,15.36,1997-02-02
760,2,26.3,1998-04-20
773,4,56.27,1997-01-04
773,4,62.9,1997-01-20
773,1,15.36,1997-01-20
773,3,63.95,1997-02-24
773,1,24.99,1997-02-24
773,1,15.36,1997-03-03
773,1,31.03,1997-07-29
773,2,29.48,1997-12-17
773,1,28.49,1997-12-18
773,3,66.97,1997-12-22
775,10,186.67,1997-01-04
780,3,47.73,1997-01-10
780,1,23.99,1997-02-01
780,3,58.97,1997-04-20
780,1,11.49,1998-01-10
789,2,27.34,1997-01-04
789,3,43.13,1997-04-27
789,2,28.97,1998-03-30
795,1,13.97,1997-01-04
816,3,35.31,1997-01-04
834,2,21.98,1997-01-04
836,4,59.08,1997-01-04
836,10,144.08,1997-01-26
836,8,122.88,1997-06-01
836,8,140.42,1997-11-12
857,2,24.94,1997-01-04
858,2,26.73,1997-01-13
875,1,16.99,1997-01-04
881,2,36.94,1997-01-04
881,1,11.77,1997-01-11
881,5,71.02,1997-06-02
881,3,45.09,1997-07-28
881,7,106.03,1998-04-18
899,2,145.47,1997-01-04
913,1,12.77,1997-01-04
918,4,51.87,1997-01-04
918,5,69.23,1997-02-14
918,1,15.49,1997-12-07
936,1,14.99,1997-01-04
947,6,53.46,1997-01-04
947,2,20.77,1997-02-09
958,8,117.1,1997-01-04
974,1,18.36,1997-01-04
989,1,14.96,1997-01-05
1012,1,13.97,1997-01-05
1012,1,13.77,1997-03-07
1012,1,14.37,1997-03-22
1012,3,32.51,1997-05-03
1014,5,96.36,1997-01-05
1034,2,33.96,1997-01-05
1035,5,66.84,1997-01-05
1035,3,42.09,1997-02-26
1050,2,21.76,1997-01-05
1062,1,14.96,1997-01-05
1080,1,14.99,1997-01-05
1099,1,14.96,1997-01-05
1099,2,24.74,1997-02-03
1099,1,8,1997-02-05
1099,1,13.97,1997-02-25
1099,1,27.77,1997-02-27
1099,3,45.28,1997-03-18
1099,4,58.68,1997-06-24
1099,1,14.96,1997-07-09
1099,1,17.49,1997-12-30
1099,1,18.49,1998-02-27
1099,1,10.49,1998-03-23
1099,3,46.47,1998-06-17
1101,1,0,1997-01-05
1108,1,16.3,1997-01-05
1108,1,13.99,1997-01-05
1108,2,14.96,1997-02-14
1108,2,11.58,1997-03-05
1108,1,6.79,1997-03-26
1108,1,6.79,1997-04-13
1108,1,12.25,1997-07-24
1108,2,20.74,1997-08-04
1108,1,11.77,1997-08-24
1108,1,12.25,1997-08-24
1108,1,14.96,1997-09-03
1108,1,12.99,1997-09-09
1108,1,11.49,1997-09-10
1108,1,5.49,1997-10-07
1108,1,4.49,1997-11-18
1108,1,5.49,1997-11-18
1108,1,5.49,1998-03-01
1108,1,2.99,1998-03-06
1115,1,19.99,1997-01-06
1117,1,14.96,1997-01-27
1131,5,71.63,1997-01-05
1150,1,37.97,1997-01-05
1158,6,79.94,1997-01-05
1158,1,14.99,1997-08-26
1167,4,47.28,1997-01-05
1167,4,60.84,1997-01-11
1167,2,19.94,1997-01-14
1167,2,24.74,1997-01-22
1167,2,23.54,1997-02-10
1167,6,99.19,1997-05-18
1167,3,76.97,1997-09-24
1167,5,62.79,1998-04-18
1174,1,34.9,1997-01-05
1188,3,43.09,1997-01-05
1209,3,31.51,1997-01-05
1223,3,56.51,1997-01-05
1240,2,36.36,1997-01-05
1241,1,11.77,1997-01-05
1241,2,25.74,1997-06-22
1241,3,41.1,1997-08-16
1241,1,14.99,1997-12-21
1241,3,38.97,1998-01-28
1251,1,6.79,1997-01-05
1251,1,4.79,1997-01-15
1251,2,24.5,1997-08-24
1251,4,35.96,1997-09-11
1251,2,17.48,1997-09-25
1251,3,32.47,1998-01-17
1251,3,58.97,1998-03-26
1251,3,21.09,1998-05-05
1252,1,16.99,1997-01-05
1252,2,26.22,1997-06-21
1265,4,34.74,1997-01-06
1280,1,22.7,1997-01-06
1283,6,79.21,1997-01-06
1283,7,92.8,1997-06-24
1291,3,52.3,1997-01-06
1291,3,52.3,1997-02-18
1295,6,90.56,1997-02-10
1302,6,125.82,1997-01-06
1317,2,32.98,1997-01-06
1322,2,27.13,1997-01-06
1322,3,39.09,1997-01-08
1333,3,42.49,1997-01-06
1333,2,29.48,1997-11-08
1343,1,9.97,1997-01-06
1343,1,12.97,1997-01-08
1343,1,12.58,1998-06-04
1350,7,156,1997-01-06
1365,1,11.77,1997-01-06
1377,1,14.37,1997-01-06
1377,1,24.99,1997-06-24
1380,2,29.33,1997-01-06
1393,1,8.77,1997-01-06
1393,3,28.31,1997-02-12
1393,4,58.46,1998-01-02
1393,3,14.47,1998-05-26
1395,1,8.77,1997-01-06
1402,10,166.3,1997-01-09
1417,3,35.31,1997-01-14
1417,6,76.41,1997-05-01
1417,22,282.78,1997-12-13
1417,6,76.94,1997-12-13
1420,1,11.77,1997-01-06
1425,1,17.3,1997-02-18
1433,1,9.98,1997-01-06
1446,1,19.77,1997-01-06
1463,3,28.37,1997-01-07
1480,1,15.96,1997-01-06
1480,1,13.77,1997-01-27
1483,11,163.52,1997-01-06
1499,1,11.77,1997-01-26
1499,12,163.61,1997-04-08
1504,1,24.99,1997-01-06
1518,1,14.96,1997-01-06
1528,1,10.99,1997-01-06
1528,3,36.71,1997-02-25
1528,1,7.49,1998-02-13
1540,1,10.77,1997-01-07
1544,1,6.79,1997-01-07
1544,2,9.58,1997-01-09
1544,2,19.16,1997-01-24
1544,1,13.97,1997-02-13
1544,1,11.77,1997-03-01
1560,1,12.77,1997-01-07
1560,1,14.37,1997-03-15
1560,2,28.74,1997-06-19
1560,1,14.96,1997-07-08
1561,4,49.87,1997-01-07
1561,6,66.94,1997-11-10
1568,1,27.99,1997-01-07
1568,4,71.66,1997-06-24
1583,1,13.7,1997-01-07
1583,1,11.77,1997-04-09
1583,1,15.96,1997-07-25
1583,1,9.49,1998-01-21
1583,1,11.49,1998-03-05
1583,1,12.99,1998-03-25
1583,1,12.58,1998-06-03
1583,1,9.99,1998-06-09
1585,1,8.77,1997-01-07
1585,1,15.99,1998-05-25
1596,2,35.36,1997-01-07
1596,2,19.54,1997-06-20
1596,4,44.96,1997-12-08
1596,3,32.74,1998-02-11
1605,2,44.98,1997-01-07
1605,2,19.96,1997-02-05
1605,1,26.99,1997-02-28
1618,1,12.97,1997-01-07
1623,1,14.99,1997-01-07
1623,2,29.98,1997-02-23
1623,5,73.62,1997-05-05
1623,8,106.42,1997-11-27
1623,3,30.4,1998-03-19
1623,1,9.49,1998-03-21
1623,7,97.95,1998-05-05
1627,1,11.77,1997-01-07
1627,2,29.33,1997-01-22
1631,1,11.77,1997-01-07
1631,2,23.54,1997-04-27
1640,7,79.99,1997-01-07
1647,2,59.98,1997-01-07
1647,2,27.14,1997-01-08
1647,4,51.66,1997-01-09
1647,1,12.97,1997-02-06
1647,2,26.14,1997-02-07
1647,3,59.97,1997-02-24
1647,1,13.99,1998-01-08
1647,2,22.98,1998-02-04
1655,2,26.73,1997-01-07
1655,1,14.96,1997-01-24
1655,1,15.36,1997-07-26
1661,1,174.99,1997-01-07
1661,2,45.35,1997-01-21
1661,1,17.9,1997-02-21
1661,1,15.7,1997-02-28
1661,2,26.73,1997-05-13
1661,1,31.03,1997-07-29
1661,1,17.95,1997-08-14
1661,1,5.78,1997-09-03
1661,1,29.99,1997-10-20
1661,1,11.49,1997-10-21
1661,1,25.49,1997-11-12
1661,1,14.49,1998-02-12
1661,1,29.99,1998-06-09
1663,1,14.96,1997-01-07
1663,1,14.96,1997-01-22
1663,1,22.99,1997-09-14
1664,5,70.42,1997-01-07
1668,1,13.97,1997-01-07
1668,1,14.39,1997-02-07
1668,2,41.95,1997-05-15
1668,2,43.57,1997-07-05
1668,1,9.77,1997-07-31
1668,1,9.77,1997-07-31
1668,1,14.99,1997-12-11
1669,1,9.98,1997-01-07
1669,3,44.32,1997-01-17
1669,1,39.47,1997-01-27
1669,2,73.98,1997-03-05
1669,1,7.98,1997-03-19
1669,1,12.77,1997-03-24
1669,1,29.95,1997-04-10
1669,3,30.54,1997-08-05
1669,1,12.25,1997-08-19
1669,1,17.7,1997-08-19
1669,3,17.37,1997-08-25
1669,2,26.73,1997-08-26
1669,1,12.99,1997-09-11
1669,8,43.92,1997-09-17
1669,1,11.49,1997-09-29
1669,2,24.48,1997-10-06
1669,1,20.99,1997-10-28
1669,2,27.98,1997-12-09
1669,1,11.19,1998-03-10
1669,2,25.98,1998-03-10
1669,2,33.98,1998-03-13
1686,1,13.97,1997-01-07
1686,2,25.98,1997-12-09
1686,2,28.48,1998-01-30
1686,3,35.47,1998-02-20
1686,1,21.22,1998-04-19
1686,1,12.99,1998-04-19
1686,1,15.99,1998-04-28
1696,4,46.48,1997-01-07
1696,3,35.31,1997-01-22
1696,2,26.14,1997-02-03
1696,2,28.93,1997-07-31
1696,2,23.74,1997-08-26
1696,2,22.48,1997-11-14
1696,1,12.99,1997-11-24
1705,1,11.77,1997-01-07
1705,4,59.84,1997-02-23
1705,1,14.79,1997-07-14
1705,1,10.77,1997-09-08
1705,1,14.37,1997-09-11
1712,1,30.97,1997-01-07
1727,3,35.31,1997-01-19
1733,1,11.77,1997-01-07
1739,1,15.36,1997-01-07
1739,1,16.7,1997-01-27
1750,1,20.97,1997-01-18
1750,7,100.59,1997-05-05
1753,1,0,1997-01-07
1758,1,11.77,1997-01-07
1758,2,34.32,1997-02-21
1760,1,11.99,1997-01-07
1760,1,9.97,1997-01-10
1760,1,13.97,1997-01-14
1760,3,46.08,1997-01-19
1760,1,5.99,1997-01-22
1760,2,27.94,1997-01-29
1760,2,23.98,1997-02-03
1760,4,55.47,1997-02-15
1760,1,14.99,1997-03-14
1760,1,14.96,1997-03-20
1760,1,14.96,1997-04-02
1760,5,72.44,1997-04-04
1760,2,27.94,1997-04-08
1760,1,14.96,1997-04-18
1760,1,11.97,1997-04-18
1760,1,14.96,1997-04-20
1760,1,12.77,1997-05-04
1760,1,14.96,1997-05-08
1760,1,12.77,1997-05-15
1760,3,41.69,1997-06-02
1760,2,29.92,1997-06-27
1760,1,15.36,1997-07-06
1760,1,15.96,1997-07-22
1760,1,14.96,1997-07-31
1760,1,14.96,1997-08-03
1760,2,29.92,1997-08-20
1760,1,15.36,1997-09-06
1760,3,39.97,1997-09-11
1760,2,25.98,1997-09-16
1760,4,57.96,1997-09-27
1760,4,48.46,1997-09-28
1760,1,12.49,1997-10-07
1760,2,25.98,1997-10-25
1760,1,13.99,1997-10-25
1760,1,12.99,1997-11-02
1760,1,13.99,1997-11-23
1760,2,29.98,1997-11-25
1760,1,7.49,1997-11-25
1760,1,12.99,1997-12-17
1760,2,25.98,1997-12-18
1760,1,12.99,1997-12-24
1760,1,12.99,1998-01-02
1760,1,14.99,1998-01-27
1760,2,42.98,1998-03-10
1760,1,11.88,1998-04-12
1760,3,60.45,1998-05-17
1760,4,37.96,1998-06-11
1763,1,12.49,1997-01-09
1783,1,14.37,1997-01-08
1792,2,30.36,1997-01-08
1792,4,59.06,1997-01-09
1792,3,50.97,1997-01-28
1792,2,29.73,1997-06-30
1809,2,31.54,1997-01-08
1825,4,63.93,1997-01-08
1825,1,14.49,1998-06-09
1828,2,26.14,1997-01-08
1828,3,46.28,1997-01-22
1839,1,73.3,1997-01-08
1845,1,17.7,1997-01-08
1845,10,139.7,1997-01-25
1845,6,78.22,1997-03-25
1845,4,52.68,1997-04-14
1845,3,40.7,1997-06-24
1845,5,69.63,1997-07-14
1845,2,26.74,1997-07-15
1845,4,57.45,1997-07-22
1845,6,72.82,1997-08-25
1845,4,49.48,1997-09-04
1845,3,36.97,1997-09-24
1845,5,72.95,1997-10-22
1845,2,24.48,1998-01-06
1845,4,107.96,1998-01-07
1845,2,29.06,1998-02-05
1845,1,8.49,1998-03-24
1845,2,26.48,1998-04-06
1858,2,24.98,1997-01-08
1858,2,28.74,1997-01-08
1877,3,49.08,1997-01-08
1877,4,51.96,1998-01-29
1890,1,12.49,1997-01-08
1890,4,49.96,1997-02-05
1890,2,13.58,1997-03-10
1890,1,12.79,1997-03-15
1890,2,24.98,1997-04-16
1890,7,100.93,1997-05-14
1890,3,32.3,1997-05-15
1890,2,11.58,1997-05-16
1890,2,20.76,1997-05-19
1890,3,28.81,1997-05-20
1890,1,5.78,1997-06-06
1890,1,12.25,1997-06-24
1890,1,4.99,1997-07-23
1890,1,12.25,1997-07-24
1890,4,49.96,1997-10-14
1890,1,11.49,1997-10-20
1890,2,24.98,1997-10-24
1890,4,35.96,1997-11-07
1890,1,12.49,1997-11-18
1890,3,47.97,1997-11-20
1890,2,16.98,1997-12-01
1890,2,53.48,1998-01-02
1890,4,63.96,1998-01-06
1890,5,105.95,1998-01-11
1890,5,66.95,1998-01-27
1890,2,24.98,1998-02-09
1890,1,11.02,1998-02-18
1890,1,5.99,1998-03-20
1890,3,40.97,1998-03-28
1890,3,41.97,1998-05-13
1893,5,63.29,1997-01-09
1893,6,70.62,1997-01-17
1893,2,38.93,1997-03-28
1893,3,41.31,1997-05-19
1893,1,11.77,1997-06-29
1893,1,17.7,1997-08-10
1893,2,30.72,1997-08-27
1893,3,45.47,1997-11-12
1893,2,25.98,1997-11-27
1893,2,25.98,1998-01-13
1893,2,25.98,1998-01-16
1893,2,23.98,1998-02-21
1893,2,25.98,1998-02-28
1893,2,25.98,1998-03-13
1893,1,15.49,1998-05-07
1894,1,14.37,1997-01-08
1908,2,25.77,1997-01-08
1919,1,18.99,1997-01-08
1919,1,14.49,1997-09-27
1919,1,13.99,1997-11-29
1919,1,14.49,1998-04-11
1928,1,64.99,1997-01-08
1944,1,51.37,1997-01-08
1956,8,93.57,1997-01-08
1971,1,18.36,1997-01-08
1985,1,6.79,1997-01-08
1991,4,47.08,1997-01-09
1991,3,29.97,1997-02-03
1991,4,68.45,1997-02-09
1991,2,55.96,1997-03-02
1991,5,62.93,1997-03-24
1991,3,40.7,1997-04-16
1991,3,47.28,1997-06-21
1991,2,31.76,1997-07-13
1991,4,56.96,1997-09-19
1991,1,9.99,1997-11-23
1991,2,98.98,1997-11-23
1991,1,39.49,1997-11-30
1991,3,38.97,1997-12-27
1991,5,70.47,1998-01-19
1991,4,56.05,1998-02-22
1991,3,43.36,1998-04-07
1991,1,21.99,1998-04-08
2005,1,17.96,1997-01-09
2030,1,15.76,1997-01-09
2046,2,17.88,1997-01-18
2046,1,14.79,1997-02-24
2046,1,29.37,1997-03-30
2046,2,27.98,1997-12-18
2049,1,12.97,1997-01-09
2053,1,15.36,1997-01-09
2053,1,15.76,1997-02-13
2053,2,20.98,1997-11-14
2053,2,16.98,1998-04-21
2053,1,14.99,1998-05-08
2071,1,8.77,1997-01-09
2072,3,27.55,1997-01-09
2072,2,27.94,1997-01-11
2072,2,29.78,1997-01-18
2072,1,14.96,1997-02-23
2072,3,62.97,1997-09-19
2072,2,10.98,1997-11-05
2072,1,20.99,1998-06-12
2087,1,14.96,1997-01-09
2092,5,53.25,1997-01-14
2092,1,12.97,1997-01-22
2092,9,61.41,1997-11-29
2092,4,35.96,1998-01-09
2092,6,32.94,1998-02-22
2099,1,13.97,1997-01-09
2099,1,13.77,1997-02-07
2099,1,9.97,1997-03-05
2099,1,12.49,1998-02-20
2102,1,3.99,1997-01-09
2102,2,23.76,1997-03-20
2102,3,44.69,1997-04-01
2102,3,45.51,1997-06-06
2102,3,41.47,1997-12-23
2104,4,51.86,1997-01-09
2104,1,11.77,1997-02-05
2104,2,29.13,1997-02-17
2104,3,44.49,1997-02-20
2109,1,28.99,1997-01-09
2127,2,27.94,1997-01-09
2142,2,30.54,1997-01-09
2161,3,52.63,1997-01-09
2180,1,16.99,1997-01-09
2181,3,41.75,1997-01-11
2181,1,14.99,1997-04-25
2194,1,14.3,1997-01-09
2194,1,22.97,1997-02-10
2194,2,16.56,1997-05-09
2194,2,48.94,1997-05-27
2194,1,39.51,1997-06-11
2194,1,10.77,1997-06-16
2194,1,33.86,1997-07-17
2198,1,13.77,1997-02-05
2199,3,36.75,1997-01-09
2202,2,29.36,1997-01-09
2202,2,27.13,1997-01-20
2213,2,28.34,1997-02-04
2213,1,26.75,1997-05-31
2217,3,46.68,1997-01-09
2217,1,29.49,1997-11-02
2224,5,99.83,1997-01-13
2224,3,79.72,1997-01-27
2235,1,27.77,1997-01-09
2254,2,21.54,1997-01-10
2272,1,12.49,1997-01-10
2272,2,25.26,1997-02-04
2272,1,12.49,1997-02-28
2274,3,43.53,1997-01-13
2289,1,16.7,1997-01-10
2289,1,15.96,1997-07-01
2289,1,27.77,1997-08-15
2294,2,28.35,1997-01-10
2319,1,10.77,1997-01-10
2331,4,56.87,1997-01-10
2331,1,14.96,1997-05-16
2336,1,12.99,1997-01-10
2337,2,9.98,1997-01-27
2361,4,82.96,1997-01-10
2361,2,34.27,1997-01-12
2363,1,14.37,1997-01-10
2379,3,59.97,1997-01-10
2389,3,35.31,1997-01-10
2389,3,61.11,1997-02-11
2389,5,141.6,1997-02-23
2389,3,37.51,1997-03-14
2389,6,80.21,1997-03-22
2389,5,68.05,1997-04-11
2389,5,62.25,1997-05-02
2389,4,51.94,1997-05-15
2389,5,92.95,1997-11-13
2389,2,24.48,1997-11-25
2389,1,21.49,1997-12-03
2389,2,30.98,1997-12-30
2389,2,41.48,1998-03-23
2389,3,61.47,1998-06-27
2390,1,26.99,1997-01-13
2390,3,41.82,1997-02-09
2390,1,12.49,1997-10-21
2398,1,31.98,1997-01-10
2419,1,13.97,1997-01-10
2419,6,81.44,1998-06-14
2427,1,11.77,1997-03-01
2427,1,13.97,1997-05-04
2427,1,10.77,1997-05-19
2427,3,42.31,1997-06-15
2427,3,42.31,1997-07-31
2427,6,80.94,1997-10-26
2442,1,14.96,1997-01-10
2445,1,19.99,1997-01-10
2445,1,14.96,1997-07-27
2445,1,13.97,1997-08-01
2445,2,24.48,1997-12-08
2455,1,14.96,1997-01-10
2455,2,24.98,1998-03-28
2457,1,13.97,1997-01-10
2457,2,25.74,1997-01-28
2457,3,37.9,1997-02-26
2457,3,44.29,1997-06-14
2457,3,41.1,1997-06-29
2457,2,25.98,1998-04-18
2471,1,21.99,1997-01-11
2471,2,21.74,1997-07-22
2478,1,21.77,1997-01-11
2492,1,11.77,1997-01-11
2508,5,69.29,1997-01-11
2509,7,94.4,1997-01-12
2509,4,55.28,1997-03-11
2509,7,95.43,1998-02-10
2509,12,187.68,1998-03-07
2509,2,27.98,1998-03-10
2509,4,50.35,1998-03-22
2521,1,11.77,1997-01-11
2537,2,24.54,1997-01-11
2541,1,11.77,1997-01-11
2541,1,15.7,1997-02-08
2541,1,24.99,1997-04-01
2550,4,55.07,1997-01-26
2550,1,11.77,1997-06-21
2556,1,0,1997-01-11
2563,1,22.97,1997-01-11
2563,1,13.97,1997-01-25
2568,2,22.74,1997-01-11
2568,1,9.77,1997-01-24
2574,1,14.37,1997-01-13
2578,1,12.49,1997-01-11
2578,5,50.52,1997-08-27
2578,1,6.78,1997-08-30
2578,1,23.99,1998-05-28
2591,4,58.28,1997-01-11
2591,1,22.49,1997-11-19
2591,5,72.04,1998-05-12
2597,1,17.36,1997-01-11
2597,2,29.73,1997-06-01
2597,2,26.14,1997-06-18
2597,1,10.99,1997-09-24
2597,1,76.99,1997-11-20
2597,2,18.64,1998-05-16
2597,2,26.57,1998-05-31
2597,3,38.47,1998-06-22
2610,2,29.92,1997-01-11
2625,3,35.31,1997-01-11
2645,1,11.77,1997-01-11
2665,1,5.78,1997-01-11
2681,1,15.96,1997-01-11
2697,1,16.7,1997-01-11
2709,1,14.37,1997-01-11
2725,5,58.85,1997-01-11
2745,1,22.7,1997-01-11
2745,1,11.99,1997-10-07
2745,1,14.49,1997-10-16
2745,1,19.99,1997-11-20
2745,1,21.49,1997-12-05
2745,2,24.98,1998-02-11
2753,1,14.37,1997-01-11
2753,1,14.96,1997-03-01
2753,1,13.97,1997-03-13
2753,3,37.51,1997-07-11
2753,2,29.92,1997-08-19
2753,1,27.99,1998-03-21
2761,1,15.96,1997-01-12
2761,3,45.88,1997-01-20
2761,6,192.9,1997-01-20
2761,7,164.93,1997-02-03
2761,4,142.96,1997-02-09
2761,6,308.22,1997-02-14
2761,8,119.43,1997-02-17
2765,1,10.77,1997-01-12
2786,5,78.2,1997-01-12
2790,2,29.58,1997-01-12
2790,3,40.9,1997-02-08
2790,2,31.32,1997-06-29
2792,1,13.97,1997-01-25
2792,2,45.98,1997-09-30
2792,2,24.48,1997-11-24
2803,1,19.99,1997-01-12
2813,2,26.73,1997-01-12
2813,2,30.32,1997-01-25
2820,2,31.78,1997-01-12
2820,2,27.73,1997-05-19
2820,2,26.14,1997-06-04
2820,2,27.98,1997-10-08
2821,1,14.96,1997-01-12
2839,1,14.37,1997-01-18
2845,2,27.13,1997-01-12
2855,1,13.97,1997-01-12
2855,1,16.36,1997-08-24
2855,1,12.99,1998-04-06
2863,1,4.99,1997-01-12
2871,4,59.85,1997-01-12
2871,1,11.77,1997-01-15
2871,3,38.47,1997-11-03
2871,13,195.37,1997-11-12
2888,1,11.77,1997-01-12
2903,2,23.54,1997-01-12
2903,1,37.3,1997-03-17
2903,1,14.37,1997-03-23
2903,4,53.48,1997-04-04
2903,1,14.37,1997-04-23
2903,3,41.1,1997-05-05
