"cust","date","first"
49353,2006-09-13,2006-03-02
49353,2006-09-30,2006-03-02
49353,2006-10-14,2006-03-02
49353,2006-10-27,2006-03-02
49353,2006-11-09,2006-03-02
49353,2006-11-21,2006-03-02
49353,2006-12-07,2006-03-02
49353,2006-12-23,2006-03-02
49353,2007-01-04,2006-03-02
49353,2007-01-13,2006-03-02
49353,2007-01-25,2006-03-02
49353,2007-02-09,2006-03-02
49353,2007-02-28,2006-03-02
49353,2007-03-16,2006-03-02
49353,2007-03-29,2006-03-02
49353,2007-04-05,2006-03-02
49353,2007-04-18,2006-03-02
49353,2007-05-01,2006-03-02
49353,2007-05-19,2006-03-02
49353,2007-06-03,2006-03-02
49353,2007-06-17,2006-03-02
49353,2007-06-28,2006-03-02
49353,2007-07-19,2006-03-02
49353,2007-08-02,2006-03-02
49353,2007-08-14,2006-03-02
49353,2007-08-28,2006-03-02
49353,2007-09-12,2006-03-02
49353,2007-09-18,2006-03-02
49353,2007-10-02,2006-03-02
49353,2007-10-16,2006-03-02
49353,2007-10-27,2006-03-02
49353,2007-11-10,2006-03-02
49353,2007-11-24,2006-03-02
49353,2007-12-01,2006-03-02
49353,2007-12-14,2006-03-02
49353,2007-12-30,2006-03-02
49423,2006-02-01,2006-02-01
49423,2006-06-21,2006-02-01
49423,2006-10-12,2006-02-01
51141,2006-01-13,2006-01-13
51141,2006-01-20,2006-01-13
51141,2006-01-27,2006-01-13
51141,2006-02-01,2006-01-13
51141,2006-02-07,2006-01-13
51141,2006-03-02,2006-01-13
51141,2006-03-23,2006-01-13
51459,2006-02-03,2006-02-03
51459,2006-05-25,2006-02-03
51459,2007-09-04,2006-02-03
51459,2007-09-20,2006-02-03
54905,2006-03-16,2006-03-16
54905,2006-04-04,2006-03-16
54905,2006-05-18,2006-03-16
54905,2006-07-11,2006-03-16
58529,2006-02-16,2006-02-16
58529,2006-06-07,2006-02-16
58529,2006-06-08,2006-02-16
59003,2006-03-01,2006-03-01
59003,2006-03-08,2006-03-01
59003,2006-03-16,2006-03-01
59003,2006-03-24,2006-03-01
59003,2006-04-01,2006-03-01
59003,2006-04-08,2006-03-01
59003,2006-04-15,2006-03-01
59003,2006-04-21,2006-03-01
59003,2006-05-06,2006-03-01
59003,2006-05-21,2006-03-01
59003,2006-05-31,2006-03-01
59958,2006-02-21,2006-02-21
59958,2006-03-22,2006-02-21
63281,2006-01-04,2006-01-04
63281,2006-02-07,2006-01-04
63281,2006-04-04,2006-01-04
63281,2006-05-03,2006-01-04
65056,2006-01-12,2006-01-12
65056,2006-12-12,2006-01-12
65056,2006-12-14,2006-01-12
65193,2006-01-17,2006-01-17
65193,2006-01-18,2006-01-17
65193,2006-02-14,2006-01-17
65193,2006-02-26,2006-01-17
65193,2006-03-14,2006-01-17
65193,2006-04-13,2006-01-17
65193,2006-04-25,2006-01-17
65193,2006-05-16,2006-01-17
65193,2006-06-15,2006-01-17
65193,2006-07-19,2006-01-17
65193,2006-08-15,2006-01-17
65193,2006-08-25,2006-01-17
65193,2006-09-06,2006-01-17
65193,2006-09-15,2006-01-17
65193,2006-10-05,2006-01-17
65193,2006-10-12,2006-01-17
65193,2006-10-26,2006-01-17
65193,2006-11-09,2006-01-17
65193,2006-11-15,2006-01-17
65193,2006-11-16,2006-01-17
65193,2006-12-15,2006-01-17
65193,2007-01-18,2006-01-17
65193,2007-02-23,2006-01-17
65193,2007-03-30,2006-01-17
65193,2007-04-12,2006-01-17
65193,2007-05-15,2006-01-17
65193,2007-06-13,2006-01-17
65193,2007-07-12,2006-01-17
65193,2007-08-17,2006-01-17
65193,2007-09-13,2006-01-17
65193,2007-10-05,2006-01-17
65193,2007-10-19,2006-01-17
65193,2007-11-15,2006-01-17
65193,2007-12-14,2006-01-17
65380,2006-03-21,2006-03-21
65380,2006-04-11,2006-03-21
65380,2006-05-06,2006-03-21
65380,2006-06-16,2006-03-21
65380,2006-07-12,2006-03-21
65380,2006-07-25,2006-03-21
65380,2006-08-23,2006-03-21
65380,2006-09-06,2006-03-21
65380,2006-09-12,2006-03-21
65380,2006-09-16,2006-03-21
65380,2006-10-03,2006-03-21
65380,2006-10-11,2006-03-21
65380,2006-10-27,2006-03-21
65485,2006-03-14,2006-03-14
65485,2006-10-19,2006-03-14
65485,2007-05-15,2006-03-14
66531,2006-03-01,2006-03-01
66531,2006-03-28,2006-03-01
66531,2006-05-31,2006-03-01
66531,2006-06-14,2006-03-01
66531,2006-07-06,2006-03-01
70933,2006-02-09,2006-02-09
70933,2006-03-17,2006-02-09
70933,2006-04-13,2006-02-09
70933,2006-06-16,2006-02-09
70933,2006-11-09,2006-02-09
70933,2007-03-22,2006-02-09
72176,2006-03-15,2006-03-15
72176,2006-03-30,2006-03-15
72176,2006-04-16,2006-03-15
72176,2006-05-13,2006-03-15
72176,2006-06-02,2006-03-15
72176,2006-06-16,2006-03-15
72176,2006-09-17,2006-03-15
72176,2007-01-09,2006-03-15
72176,2007-02-08,2006-03-15
73164,2006-01-24,2006-01-24
73164,2006-06-28,2006-01-24
73164,2006-10-11,2006-01-24
73164,2006-12-20,2006-01-24
73164,2007-03-24,2006-01-24
73164,2007-05-24,2006-01-24
73164,2007-08-28,2006-01-24
73164,2007-10-31,2006-01-24
73512,2006-02-03,2006-02-03
73709,2006-02-28,2006-02-28
73709,2006-03-10,2006-02-28
73709,2006-03-28,2006-02-28
73709,2006-04-15,2006-02-28
73709,2006-04-26,2006-02-28
73709,2006-05-12,2006-02-28
73709,2006-05-30,2006-02-28
73709,2006-06-14,2006-02-28
75007,2006-02-15,2006-02-15
77358,2006-02-11,2006-02-11
77358,2006-02-28,2006-02-11
77358,2006-04-05,2006-02-11
77358,2006-07-04,2006-02-11
77358,2006-09-29,2006-02-11
77358,2007-04-11,2006-02-11
77358,2007-07-17,2006-02-11
77358,2007-11-07,2006-02-11
77906,2006-02-09,2006-02-09
78969,2006-02-01,2006-02-01
78969,2006-03-02,2006-02-01
80054,2006-03-10,2006-03-10
80054,2007-01-26,2006-03-10
80054,2007-04-18,2006-03-10
80054,2007-12-18,2006-03-10
82962,2006-02-07,2006-02-07
82962,2006-03-15,2006-02-07
82962,2006-05-12,2006-02-07
82962,2006-06-02,2006-02-07
82962,2006-06-14,2006-02-07
82962,2006-07-20,2006-02-07
82962,2006-09-22,2006-02-07
82962,2006-11-09,2006-02-07
82962,2006-12-15,2006-02-07
82962,2007-01-31,2006-02-07
82962,2007-03-16,2006-02-07
82962,2007-04-27,2006-02-07
82962,2007-05-17,2006-02-07
82962,2007-06-01,2006-02-07
82962,2007-07-17,2006-02-07
82962,2007-09-21,2006-02-07
83028,2006-03-15,2006-03-15
83028,2006-05-11,2006-03-15
83910,2006-03-21,2006-03-21
84566,2006-03-08,2006-03-08
84699,2006-02-07,2006-02-07
84699,2006-03-14,2006-02-07
84699,2006-04-19,2006-02-07
84699,2006-06-27,2006-02-07
84699,2007-01-23,2006-02-07
86064,2006-01-04,2006-01-04
86064,2006-01-12,2006-01-04
86064,2006-01-19,2006-01-04
86064,2006-01-26,2006-01-04
86064,2006-02-09,2006-01-04
86064,2006-02-22,2006-01-04
86064,2006-03-02,2006-01-04
86064,2006-03-09,2006-01-04
86064,2006-05-11,2006-01-04
86064,2006-09-21,2006-01-04
86064,2006-11-16,2006-01-04
86064,2007-02-01,2006-01-04
86946,2006-02-24,2006-02-24
88129,2006-03-22,2006-03-22
88774,2006-03-01,2006-03-01
88774,2006-07-13,2006-03-01
90598,2006-02-28,2006-02-28
90598,2006-03-01,2006-02-28
90598,2006-05-10,2006-02-28
90598,2006-07-19,2006-02-28
90598,2006-12-12,2006-02-28
90598,2007-05-15,2006-02-28
90598,2007-10-11,2006-02-28
95159,2006-02-19,2006-02-19
95326,2006-02-01,2006-02-01
95326,2006-02-17,2006-02-01
95326,2006-03-03,2006-02-01
95326,2006-03-24,2006-02-01
95326,2006-05-06,2006-02-01
95326,2006-08-01,2006-02-01
95326,2006-08-03,2006-02-01
97203,2006-02-17,2006-02-17
97203,2006-03-17,2006-02-17
97203,2006-03-31,2006-02-17
97203,2006-04-15,2006-02-17
97203,2006-04-29,2006-02-17
97203,2006-05-12,2006-02-17
97203,2006-06-02,2006-02-17
97203,2006-08-04,2006-02-17
97203,2006-08-15,2006-02-17
97203,2006-08-30,2006-02-17
97203,2006-09-13,2006-02-17
97203,2006-09-15,2006-02-17
97203,2006-10-11,2006-02-17
97203,2006-11-14,2006-02-17
97203,2006-11-15,2006-02-17
97203,2006-12-12,2006-02-17
97203,2007-01-09,2006-02-17
97203,2007-02-07,2006-02-17
97203,2007-03-20,2006-02-17
97203,2007-05-01,2006-02-17
97203,2007-06-05,2006-02-17
97203,2007-07-06,2006-02-17
97203,2007-08-14,2006-02-17
97203,2007-09-21,2006-02-17
97203,2007-10-21,2006-02-17
97203,2007-11-27,2006-02-17
97203,2007-11-30,2006-02-17
97477,2006-02-04,2006-02-04
97892,2006-02-17,2006-02-17
99939,2006-01-26,2006-01-26
102533,2006-01-28,2006-01-28
102533,2006-02-11,2006-01-28
102533,2006-02-25,2006-01-28
102533,2006-03-11,2006-01-28
103691,2006-01-22,2006-01-22
103691,2006-02-07,2006-01-22
103691,2006-02-28,2006-01-22
103691,2006-03-22,2006-01-22
103691,2006-04-13,2006-01-22
103691,2006-05-03,2006-01-22
103691,2006-05-24,2006-01-22
103691,2006-06-16,2006-01-22
103691,2006-07-05,2006-01-22
103691,2006-07-19,2006-01-22
103691,2006-08-05,2006-01-22
103691,2006-08-25,2006-01-22
103691,2006-09-14,2006-01-22
103691,2006-09-30,2006-01-22
103691,2006-10-19,2006-01-22
103691,2006-11-04,2006-01-22
103691,2006-12-01,2006-01-22
103691,2006-12-19,2006-01-22
103691,2007-01-13,2006-01-22
104087,2006-02-04,2006-02-04
104087,2007-02-14,2006-02-04
104087,2007-05-25,2006-02-04
104333,2006-01-28,2006-01-28
104333,2006-02-11,2006-01-28
104333,2006-03-02,2006-01-28
104333,2006-03-18,2006-01-28
104333,2006-04-07,2006-01-28
104333,2006-05-05,2006-01-28
104333,2006-06-07,2006-01-28
104333,2006-07-05,2006-01-28
104333,2006-09-23,2006-01-28
104333,2006-11-08,2006-01-28
104333,2006-12-06,2006-01-28
104333,2007-01-12,2006-01-28
104333,2007-02-14,2006-01-28
104333,2007-06-28,2006-01-28
104333,2007-10-26,2006-01-28
104333,2007-12-04,2006-01-28
105396,2006-02-25,2006-02-25
105396,2006-07-05,2006-02-25
109201,2006-02-04,2006-02-04
109201,2006-11-24,2006-02-04
109201,2007-07-19,2006-02-04
109201,2007-08-24,2006-02-04
109201,2007-09-13,2006-02-04
109201,2007-10-12,2006-02-04
109201,2007-12-19,2006-02-04
110683,2006-01-07,2006-01-07
111129,2006-03-02,2006-03-02
111129,2006-03-09,2006-03-02
112914,2006-02-15,2006-02-15
112914,2006-09-01,2006-02-15
113199,2006-01-27,2006-01-27
113199,2006-01-28,2006-01-27
113199,2007-11-30,2006-01-27
113199,2007-12-13,2006-01-27
113953,2006-03-10,2006-03-10
114134,2006-01-03,2006-01-03
114134,2006-03-03,2006-01-03
114134,2006-04-05,2006-01-03
114134,2006-05-05,2006-01-03
114134,2006-06-09,2006-01-03
114134,2006-07-14,2006-01-03
114134,2006-08-22,2006-01-03
114134,2006-09-26,2006-01-03
114134,2006-11-09,2006-01-03
114134,2007-02-01,2006-01-03
114134,2007-07-26,2006-01-03
114134,2007-08-29,2006-01-03
114134,2007-10-04,2006-01-03
114134,2007-11-09,2006-01-03
114134,2007-12-14,2006-01-03
114918,2006-01-26,2006-01-26
117406,2006-03-01,2006-03-01
117911,2006-03-04,2006-03-04
117911,2006-03-10,2006-03-04
117911,2006-03-21,2006-03-04
117911,2006-03-31,2006-03-04
117911,2006-04-11,2006-03-04
118186,2006-02-15,2006-02-15
118447,2006-01-12,2006-01-12
118447,2006-03-09,2006-01-12
118447,2006-05-27,2006-01-12
118447,2006-07-07,2006-01-12
118447,2006-09-15,2006-01-12
118447,2006-11-29,2006-01-12
118447,2007-02-21,2006-01-12
118447,2007-04-25,2006-01-12
118447,2007-07-05,2006-01-12
118447,2007-09-11,2006-01-12
118447,2007-12-16,2006-01-12
122452,2006-03-04,2006-03-04
122452,2006-04-01,2006-03-04
122452,2006-05-06,2006-03-04
122452,2006-05-20,2006-03-04
122452,2006-05-27,2006-03-04
122452,2006-07-15,2006-03-04
122452,2006-08-05,2006-03-04
122452,2006-10-28,2006-03-04
122969,2006-01-13,2006-01-13
125956,2006-03-03,2006-03-03
125956,2006-03-18,2006-03-03
127999,2006-03-01,2006-03-01
128991,2006-03-15,2006-03-15
128991,2006-03-21,2006-03-15
128991,2006-03-28,2006-03-15
128991,2006-04-12,2006-03-15
128991,2006-04-22,2006-03-15
128991,2006-05-05,2006-03-15
128991,2006-05-13,2006-03-15
128991,2006-06-08,2006-03-15
128991,2006-06-16,2006-03-15
128991,2006-07-12,2006-03-15
128991,2006-07-19,2006-03-15
128991,2006-08-15,2006-03-15
128991,2006-08-25,2006-03-15
128991,2006-09-06,2006-03-15
128991,2006-09-15,2006-03-15
128991,2006-10-13,2006-03-15
128991,2006-11-14,2006-03-15
128991,2007-02-16,2006-03-15
128991,2007-02-23,2006-03-15
128991,2007-04-14,2006-03-15
128991,2007-05-15,2006-03-15
128991,2007-08-15,2006-03-15
129642,2006-01-13,2006-01-13
130810,2006-03-17,2006-03-17
130810,2006-04-03,2006-03-17
131535,2006-03-15,2006-03-15
131535,2006-03-28,2006-03-15
131535,2006-04-12,2006-03-15
131535,2006-04-26,2006-03-15
131535,2006-05-05,2006-03-15
131535,2006-05-17,2006-03-15
131535,2006-05-24,2006-03-15
131535,2006-06-07,2006-03-15
131535,2006-06-16,2006-03-15
131535,2006-06-23,2006-03-15
131535,2006-07-05,2006-03-15
131535,2006-07-13,2006-03-15
131535,2006-07-25,2006-03-15
131535,2006-08-03,2006-03-15
131535,2006-08-10,2006-03-15
131535,2006-08-17,2006-03-15
131535,2006-08-30,2006-03-15
131535,2006-09-07,2006-03-15
131535,2006-09-27,2006-03-15
131535,2006-10-11,2006-03-15
131535,2006-10-26,2006-03-15
131535,2006-11-21,2006-03-15
131535,2006-12-05,2006-03-15
131535,2006-12-19,2006-03-15
131535,2007-01-03,2006-03-15
131535,2007-01-16,2006-03-15
131535,2007-01-30,2006-03-15
131535,2007-02-13,2006-03-15
131535,2007-02-27,2006-03-15
131535,2007-03-13,2006-03-15
131535,2007-03-27,2006-03-15
131535,2007-04-17,2006-03-15
131535,2007-05-08,2006-03-15
131535,2007-05-22,2006-03-15
131535,2007-06-13,2006-03-15
131535,2007-06-28,2006-03-15
131535,2007-07-11,2006-03-15
131535,2007-07-24,2006-03-15
131535,2007-08-08,2006-03-15
131535,2007-08-22,2006-03-15
131535,2007-09-05,2006-03-15
131535,2007-09-19,2006-03-15
131535,2007-10-10,2006-03-15
131535,2007-10-24,2006-03-15
131535,2007-11-07,2006-03-15
131535,2007-11-28,2006-03-15
131535,2007-12-12,2006-03-15
131908,2006-03-08,2006-03-08
131908,2006-03-15,2006-03-08
131908,2006-03-30,2006-03-08
131908,2006-05-10,2006-03-08
132337,2006-03-04,2006-03-04
133475,2006-03-10,2006-03-10
133475,2006-04-21,2006-03-10
133475,2006-06-15,2006-03-10
133475,2006-07-13,2006-03-10
133475,2006-09-15,2006-03-10
133475,2006-11-23,2006-03-10
133475,2007-01-12,2006-03-10
133475,2007-02-23,2006-03-10
133475,2007-02-27,2006-03-10
133475,2007-04-03,2006-03-10
133475,2007-05-05,2006-03-10
133475,2007-07-25,2006-03-10
133475,2007-09-07,2006-03-10
133475,2007-11-09,2006-03-10
133475,2007-12-04,2006-03-10
134229,2006-02-08,2006-02-08
135556,2006-02-16,2006-02-16
135556,2006-02-28,2006-02-16
135556,2006-03-07,2006-02-16
135556,2006-03-29,2006-02-16
135556,2006-04-20,2006-02-16
135556,2006-04-26,2006-02-16
135556,2006-05-06,2006-02-16
135556,2006-05-16,2006-02-16
135556,2006-06-07,2006-02-16
135556,2006-06-14,2006-02-16
135556,2006-06-27,2006-02-16
135556,2006-09-06,2006-02-16
135556,2006-09-19,2006-02-16
135556,2006-09-28,2006-02-16
135556,2006-10-03,2006-02-16
135556,2006-10-11,2006-02-16
135556,2006-10-17,2006-02-16
135556,2006-10-25,2006-02-16
135556,2006-11-07,2006-02-16
135556,2006-11-29,2006-02-16
135556,2006-12-12,2006-02-16
135556,2006-12-27,2006-02-16
135556,2007-01-04,2006-02-16
135556,2007-01-17,2006-02-16
135556,2007-01-24,2006-02-16
135556,2007-02-06,2006-02-16
135556,2007-02-20,2006-02-16
135556,2007-03-01,2006-02-16
135556,2007-03-16,2006-02-16
135556,2007-03-22,2006-02-16
135556,2007-04-11,2006-02-16
135556,2007-04-19,2006-02-16
135556,2007-05-04,2006-02-16
135556,2007-05-10,2006-02-16
135556,2007-05-22,2006-02-16
135556,2007-05-30,2006-02-16
135556,2007-06-06,2006-02-16
135556,2007-06-15,2006-02-16
135556,2007-06-24,2006-02-16
135556,2007-07-10,2006-02-16
135556,2007-07-18,2006-02-16
135556,2007-07-31,2006-02-16
135556,2007-08-14,2006-02-16
135556,2007-09-04,2006-02-16
135556,2007-10-13,2006-02-16
135556,2007-11-14,2006-02-16
135556,2007-12-27,2006-02-16
135882,2006-02-08,2006-02-08
135882,2006-03-16,2006-02-08
135882,2006-03-22,2006-02-08
135882,2006-10-05,2006-02-08
136744,2006-02-01,2006-02-01
136744,2006-04-05,2006-02-01
138327,2006-03-04,2006-03-04
138327,2006-03-11,2006-03-04
138327,2006-03-18,2006-03-04
138327,2006-03-25,2006-03-04
138327,2006-04-01,2006-03-04
138327,2006-04-08,2006-03-04
138327,2006-04-15,2006-03-04
138327,2006-04-22,2006-03-04
138735,2006-02-15,2006-02-15
138735,2006-03-08,2006-02-15
138735,2006-03-31,2006-02-15
138735,2006-04-29,2006-02-15
138735,2006-05-30,2006-02-15
138735,2006-07-04,2006-02-15
138735,2006-08-17,2006-02-15
138735,2006-09-28,2006-02-15
138735,2006-10-31,2006-02-15
138735,2006-11-01,2006-02-15
138735,2006-12-22,2006-02-15
138735,2007-01-18,2006-02-15
138735,2007-02-07,2006-02-15
138735,2007-03-09,2006-02-15
138735,2007-03-30,2006-02-15
150864,2006-01-06,2006-01-06
150864,2006-03-03,2006-01-06
150864,2006-04-22,2006-01-06
150864,2006-06-28,2006-01-06
150864,2006-10-10,2006-01-06
150864,2007-01-06,2006-01-06
150864,2007-05-07,2006-01-06
150864,2007-09-25,2006-01-06
151217,2006-01-11,2006-01-11
151217,2006-02-14,2006-01-11
151217,2006-05-11,2006-01-11
151217,2006-06-22,2006-01-11
151217,2006-09-15,2006-01-11
151217,2007-03-26,2006-01-11
8889181,2006-01-11,2006-01-11
8889230,2006-03-04,2006-03-04
8889498,2006-03-04,2006-03-04
8889596,2006-03-15,2006-03-15
8889596,2006-11-15,2006-03-15
8889596,2007-04-25,2006-03-15
8889596,2007-11-14,2006-03-15
8890675,2006-03-14,2006-03-14
8890675,2006-03-22,2006-03-14
8890675,2006-04-04,2006-03-14
8890675,2006-06-27,2006-03-14
8890675,2006-09-13,2006-03-14
8890675,2006-10-04,2006-03-14
8890675,2006-10-27,2006-03-14
8890675,2006-11-07,2006-03-14
8890675,2006-11-29,2006-03-14
8890675,2007-01-03,2006-03-14
8890675,2007-01-16,2006-03-14
8890675,2007-02-13,2006-03-14
8890675,2007-03-07,2006-03-14
8890675,2007-09-20,2006-03-14
8890675,2007-10-10,2006-03-14
8890840,2006-02-07,2006-02-07
8891170,2006-02-17,2006-02-17
8891170,2006-06-28,2006-02-17
8891170,2006-08-01,2006-02-17
8891170,2006-08-30,2006-02-17
8891170,2006-10-04,2006-02-17
8891170,2006-11-15,2006-02-17
8891170,2007-01-05,2006-02-17
8891170,2007-02-23,2006-02-17
8891170,2007-03-30,2006-02-17
8891170,2007-03-31,2006-02-17
8891170,2007-05-13,2006-02-17
8891170,2007-07-15,2006-02-17
8891170,2007-08-31,2006-02-17
8891170,2007-10-26,2006-02-17
8891170,2007-11-08,2006-02-17
8891170,2007-12-05,2006-02-17
8892168,2006-02-04,2006-02-04
8892469,2006-01-28,2006-01-28
8892585,2006-03-03,2006-03-03
8892585,2006-04-14,2006-03-03
8892585,2006-05-16,2006-03-03
8892585,2006-06-15,2006-03-03
8892585,2006-07-18,2006-03-03
8892585,2006-08-15,2006-03-03
8892585,2006-09-26,2006-03-03
8892585,2006-11-07,2006-03-03
8892585,2006-12-17,2006-03-03
8892585,2007-01-24,2006-03-03
8892585,2007-02-27,2006-03-03
8892585,2007-04-28,2006-03-03
8892585,2007-06-17,2006-03-03
8892585,2007-08-05,2006-03-03
8892585,2007-09-25,2006-03-03
8892585,2007-11-06,2006-03-03
8894207,2006-02-25,2006-02-25
8894207,2006-03-11,2006-02-25
8894207,2006-03-18,2006-02-25
8894207,2006-03-25,2006-02-25
8894207,2006-04-01,2006-02-25
8894207,2006-04-08,2006-02-25
8894207,2006-04-15,2006-02-25
8894207,2006-04-22,2006-02-25
8894207,2006-04-29,2006-02-25
8894207,2006-05-06,2006-02-25
8894207,2006-05-13,2006-02-25
8894207,2006-05-20,2006-02-25
8894207,2006-05-27,2006-02-25
8894207,2006-06-03,2006-02-25
8894221,2006-02-25,2006-02-25
8895093,2006-03-16,2006-03-16
8895833,2006-02-08,2006-02-08
8895833,2006-02-14,2006-02-08
8896547,2006-01-31,2006-01-31
8896547,2006-03-19,2006-01-31
8896547,2006-04-06,2006-01-31
8896547,2006-05-04,2006-01-31
8896547,2006-06-02,2006-01-31
8896547,2006-06-14,2006-01-31
8896547,2006-07-09,2006-01-31
8897007,2006-02-15,2006-02-15
8897007,2006-07-19,2006-02-15
8897007,2007-01-13,2006-02-15
8897442,2006-01-10,2006-01-10
8897442,2006-01-27,2006-01-10
8897442,2006-11-10,2006-01-10
8898212,2006-03-28,2006-03-28
8898241,2006-01-31,2006-01-31
8898423,2006-01-19,2006-01-19
8898423,2007-09-02,2006-01-19
8898423,2007-09-18,2006-01-19
8898536,2006-03-01,2006-03-01
8898536,2007-02-08,2006-03-01
8899602,2006-02-04,2006-02-04
8899602,2006-02-07,2006-02-04
8899602,2006-02-14,2006-02-04
8899602,2006-03-07,2006-02-04
8899602,2006-03-14,2006-02-04
8899602,2006-03-21,2006-02-04
8899602,2006-03-31,2006-02-04
8899602,2006-04-06,2006-02-04
8899602,2006-04-15,2006-02-04
8899602,2006-04-25,2006-02-04
8899602,2006-04-29,2006-02-04
8899602,2006-05-10,2006-02-04
8899602,2006-05-18,2006-02-04
8899602,2007-05-23,2006-02-04
8899602,2007-07-03,2006-02-04
8899602,2007-07-10,2006-02-04
8899602,2007-07-11,2006-02-04
8899602,2007-07-17,2006-02-04
8899602,2007-07-18,2006-02-04
8899602,2007-07-20,2006-02-04
8899602,2007-07-24,2006-02-04
8899602,2007-07-26,2006-02-04
8899602,2007-07-31,2006-02-04
8899602,2007-08-03,2006-02-04
8899602,2007-08-09,2006-02-04
8899602,2007-08-11,2006-02-04
8899602,2007-08-14,2006-02-04
8899602,2007-08-21,2006-02-04
8899602,2007-08-23,2006-02-04
8899602,2007-08-24,2006-02-04
8899602,2007-08-25,2006-02-04
8899602,2007-08-29,2006-02-04
8899602,2007-08-31,2006-02-04
8899602,2007-09-05,2006-02-04
8899602,2007-09-11,2006-02-04
8899602,2007-09-13,2006-02-04
8899602,2007-09-15,2006-02-04
8899602,2007-09-25,2006-02-04
8899602,2007-09-26,2006-02-04
